word	count	new_word
(1-c1f)*(p0-pt)	1	
(1-c1h)*(p0-pt)	1	
(eta-bf)*(p0-pt)+pt,	1	
(eta-bh)*(p0-pt)+pt,	1	
/	2	
00:00:00	1	
1979-10-01	1	
2	1	
=	8	
=>	4	
ACCUMULATED	2	accumulated
BUCKET	1	bucket
FOR	1	for
GRID	2	grid
M	1	meters
OF	1	of
OVER	1	over
PERIODS	1	periods
PRECIPITATION	2	precipitation
RAINNC	1	non-convective precipitation
SCALE	2	scale
TEMP	1	temperature
TIME	1	time
TOTAL	1	total
at	1	
bf	3	
bf=0	1	
bf=znw	1	
bh	1	
bh=0	1	
bh=znu	1	
c1f	1	
c1h	1	
c2f	1	
c2h	1	
c3f	1	
c3h	1	
c4f	1	
c4h	1	
d	4	
eta,	2	
full	5	
half	5	
isobaric;	2	
levels,	10	
minutes	1	
prec_acc_dt	1	
sigma	2	
since	1	
using	4	
znu	2	
znw	2	
