varname	notes
ACLWDNB	Actual accumulated value computed with equation: ACLWDNB = ACLWDNB + I_ACLWDNB * 1.0e9
ACLWDNBC	Actual accumulated value computed with equation: ACLWDNBC = ACLWDNBC + I_ACLWDNBC * 1.0e9
ACLWDNT	Actual accumulated value computed with equation: ACLWDNT = ACLWDNT + I_ACLWDNT * 1.0e9
ACLWDNTC	Actual accumulated value computed with equation: ACLWDNTC = ACLWDNTC + I_ACLWDNTC * 1.0e9
ACLWUPB	Actual accumulated value computed with equation: ACLWUPB = ACLWUPB + I_ACLWUPB * 1.0e9
ACLWUPBC	Actual accumulated value computed with equation: ACLWUPBC = ACLWUPBC + I_ACLWUPBC * 1.0e9
ACLWUPT	Actual accumulated value computed with equation: ACLWUPT = ACLWUPT + I_ACLWUPT * 1.0e9
ACLWUPTC	Actual accumulated value computed with equation: ACLWUPTC = ACLWUPTC + I_ACLWUPTC * 1.0e9
ACSWDNB	Actual accumulated value computed with equation: ACSWDNB = ACSWDNB + I_ACSWDNB * 1.0e9
ACSWDNBC	Actual accumulated value computed with equation: ACSWDNBC = ACSWDNBC + I_ACSWDNBC * 1.0e9
ACSWDNT	Actual accumulated value computed with equation: ACSWDNT = ACSWDNT + I_ACSWDNT * 1.0e9
ACSWDNTC	Actual accumulated value computed with equation: ACSWDNTC = ACSWDNTC + I_ACSWDNTC * 1.0e9
ACSWUPB	Actual accumulated value computed with equation: ACSWUPB = ACSWUPB + I_ACSWUPB * 1.0e9
ACSWUPBC	Actual accumulated value computed with equation: ACSWUPBC = ACSWUPBC + I_ACSWUPBC * 1.0e9
ACSWUPT	Actual accumulated value computed with equation: ACSWUPT = ACSWUPT + I_ACSWUPT * 1.0e9
ACSWUPTC	Actual accumulated value computed with equation: ACSWUPTC = ACSWUPTC + I_ACSWUPTC * 1.0e9
RAINC	Actual accumulated value computed with equation: RAINC = RAINC + I_RAINC * 100
RAINNC	Actual accumulated value computed with equation: RAINNC = RAINNC + I_RAINNC * 100
