varname	units
ACEFLXB	kJ m-2
ACEVB	kJ m-2
ACEVC	kJ m-2
ACEVG	kJ m-2
ACGHB	kJ m-2
ACGHFLSM	kJ m-2
ACGHV	kJ m-2
ACIRB	kJ m-2
ACIRC	kJ m-2
ACIRG	kJ m-2
ACLHFLSM	kJ m-2
ACLWDNLSM	kJ m-2
ACLWUPLSM	kJ m-2
ACPAHB	kJ m-2
ACPAHG	kJ m-2
ACPAHLSM	kJ m-2
ACPAHV	kJ m-2
ACSAGB	kJ m-2
ACSAGV	kJ m-2
ACSAV	kJ m-2
ACSHB	kJ m-2
ACSHC	kJ m-2
ACSHFLSM	kJ m-2
ACSHG	kJ m-2
ACSWDNLSM	kJ m-2
ACSWUPLSM	kJ m-2
ACTR	kJ m-2
ALBEDO	1
CLDFRA	1
EMISS	1
FORCQLSM	kg kg-1
FORCWLSM	m s-1
I_RAINC	mm
I_RAINNC	mm
LAI	m2 m-2
NOAHRES	W m-2
QNICE	kg-1
QNRAIN	kg-1
QRFS	mm
QSLAT	mm
RDX	m-1
RDY	m-1
RECH	mm
SHDMAX	1
SHDMIN	1
SNOALB	1
SNOWENERGY	kJ m-2
SOILENERGY	kJ m-2
SR	1
SRH01	m2 s-2
SRH03	m2 s-2
U_BUNK	m s-1
VEGFRA	1
V_BUNK	m s-1
XTIME	minutes since 1979-10-01 00:00:00
