Word	Count	New_word
(1	4	
(1-c1f)*(p0-pt)	1	
(1-c1h)*(p0-pt)	1	
(DT/D(LN(P))	1	
(PREVIOUS	1	(previous
(SLOPE-DEPENDENT)	1	(slope-dependent)
(eta-bf)*(p0-pt)+pt,	1	
(eta-bh)*(p0-pt)+pt,	1	
(lamda	1	
(mass)	3	
(theta-t0)	1	
(w)	3	
-	1	
/	2	
0	2	
0-1km	3	
0-3km	1	
0-6km	2	
0:00:00	1	
10	4	
10/1/79	1	
1=original	1	
1KM	1	1-km
2	4	
2-m	1	
273.16	2	
2nd	3	
3D	1	
=	9	
=>	4	
ACCUMULATED	30	accumulated
AGL	5	above ground level (AGL)
ALBEDO	3	albedo
AND	1	and
ANGLE	1	angle
ANNUAL	3	annual
AREA	1	area
ARW	1	
AT	60	at
Array	6	array
BACKGROUND	1	background
BASE	7	base
BOTTOM	25	bottom
BOUNDARY	1	boundary
BUCKET	18	bucket
BUDGET	1	budget
Bunkers	2	
CANOPY	1	canopy
CAPE	3	convective available potential energy (CAPE)
CATEGORY	3	category
CENTERS	1	centers
CINH	3	convective inhibition up to the level of free convection (CINH)
CLEAR	24	clear
CLOUD	1	cloud
COL	1	column
COLUMN	1	column
COMPOSITE	1	composite
COMPUTATIONAL	1	computational
CONST	1	constant
CONSTANT	1	constant
COS	1	cosine
COVER)	1	cover)
COVERAGE	1	coverage
CUMULUS	3	cumulus
Cloud	1	cloud
Coriolis	2	coriolis
DEPTH	1	depth
DEPTHS	1	depths
DERIVED	1	derived
DIAMETER	2	diameter
DOMINANT	2	dominant
DOWNDRAFT	1	downdraft
DOWNWARD	2	downward
DOWNWELLING	24	downwelling
ECAN	1	net evaporation of canopy water (evap + sublim - dew - frost)
EDIR	1	net soil evaporation or snowpack sublimation (evap or sublim - dew or frost)
EFLXB	1	energy influx from soil bottom
EMISSIVITY	1	emissivity
ENERGY	1	energy
ENTIRE	1	entire
EQUIVALENT	3	equivalent
ET	1	total evaporation
ETRAN	1	plant transpiration
EVB	1	latent heat flux over bare ground
EVC	1	latent heat flux for canopy layer
EVG	1	ground latent heat flux below canopy
FILE	1	file
FLAG	3	flag
FLUX	58	flux
FOR	26	for
FRACTION	5	fraction
FROM	1	from
GHB	1	heat flux into soil or snowpack for bare ground
GHV	1	heat flux into soil or snowpack under canopy
GRAUPEL	3	graupel
