,huc12,i,j,wght
0,020402060505,22,38,0.12467504839138374
1,020402060505,21,38,0.13704426564413597
2,020402060505,23,38,0.05763002787708546
3,020402060505,23,37,0.11781759726970539
4,020402060505,22,37,0.1975085324260279
5,020402060505,21,37,0.10660644121918865
6,020402060505,22,36,0.1213388931129486
7,020402060505,21,36,0.07476889020779127
8,020402060505,22,35,0.03554301313938226
9,020402060505,21,35,0.02706729071234944
10,020401050502,67,34,0.057943276507137945
11,020401050502,66,34,0.08294830173754592
12,020401050502,65,34,0.04193685748507389
13,020401050502,64,34,0.00016845001393872802
14,020401050502,64,33,0.06612904034020678
15,020401050502,67,33,0.00013376970390079385
16,020401050502,66,33,0.08255749472265196
17,020401050502,65,33,0.13445881945496255
18,020401050502,65,32,0.04207149182928016
19,020401050502,63,33,0.003636250144698205
20,020401050502,64,32,0.11973067012337345
21,020401050502,63,32,0.11848489554510343
22,020401050502,62,32,0.11117075123725631
23,020401050502,61,32,0.03577535431323239
24,020401050502,64,31,0.003109162698377485
25,020401050502,63,31,0.040503347444808685
26,020401050502,62,31,0.05487958937532069
27,020401050502,61,31,0.00436247732313216
28,020402030305,51,14,0.07043367843426085
29,020402030305,50,14,0.06367408957018315
30,020402030305,49,14,0.005380861219768055
31,020402030305,51,13,0.09674364487803593
32,020402030305,50,13,0.11589524896150596
33,020402030305,52,14,0.011692446637756093
34,020402030305,52,13,0.0022675904388590675
35,020402030305,49,13,0.0950715107411557
36,020402030305,48,13,0.02160215159956994
37,020402030305,52,12,0.007820861561536123
38,020402030305,51,12,0.06627206954830012
39,020402030305,50,12,0.08284580223984793
40,020402030305,49,12,0.11589146203005374
41,020402030305,48,12,0.08500053998844524
42,020402030305,52,11,0.008537791503433501
43,020402030305,51,11,0.041203923568847674
44,020402030305,50,11,0.008860067390229317
45,020402030305,49,11,0.08834791311664406
46,020402030305,48,11,0.009905119742398326
47,020402030305,49,10,0.002553226829170599
48,020402020507,32,33,2.484859170795754e-06
49,020402020507,33,33,0.027469592933304497
50,020402020507,35,32,0.009290752473764494
51,020402020507,34,32,0.06495114714382376
52,020402020507,33,32,0.1590597632436522
53,020402020507,32,32,0.008047191003177667
54,020402020507,32,31,0.009687421634901772
55,020402020507,35,31,0.0029965139992542728
56,020402020507,34,31,0.14723883920984504
57,020402020507,33,31,0.1587918886427368
58,020402020507,34,30,0.07238230020793933
59,020402020507,33,30,0.111939378090048
60,020402020507,32,30,0.06479438176841226
61,020402020507,32,29,0.028221997588205344
62,020402020507,34,29,0.004230743449677415
63,020402020507,33,29,0.12858812815176046
64,020402020507,33,28,0.002307475600325299
65,020401050905,53,31,0.18488460146386673
66,020401050905,52,31,0.15967613283477083
67,020401050905,53,30,0.04626040457339515
68,020401050905,52,30,0.10375407579667958
69,020401050905,51,31,0.049536711227601164
70,020401050905,50,31,0.092791867796723
71,020401050905,49,31,0.032227855687282245
72,020401050905,51,30,0.15447360203607763
73,020401050905,50,30,0.16117401235117565
74,020401050905,49,30,0.015220736232429503
75,020401040306,83,29,0.08985114482440355
76,020401040306,82,29,0.27150592633542286
77,020401040306,81,29,0.24412897490936342
78,020401040306,80,29,0.13794763150733613
79,020401040306,83,30,0.0008558561964378081
80,020401040306,82,30,0.022458999859873
81,020401040306,81,30,0.03260057945246108
82,020401040306,80,30,0.17782335065719299
83,020401040306,79,30,0.022827536257507174
84,020402060201,25,31,0.09308473955283507
85,020402060201,24,31,0.06951515411290769
86,020402060201,27,30,8.001181491348132e-05
87,020402060201,26,30,0.10614914884021806
88,020402060201,25,30,0.18225998985765168
89,020402060201,24,30,0.12302987558212905
90,020402060201,26,29,0.001648003601262645
91,020402060201,25,29,0.10452371510966392
92,020402060201,24,29,0.09338116236797488
93,020402060201,24,28,0.004652791528994015
94,020402060201,26,32,0.05228151139234124
95,020402060201,25,32,0.0007038190201016469
96,020402060201,26,31,0.16869007721900536
97,020401041004,64,24,0.0330149319838476
98,020401041004,63,24,0.17410422784501675
99,020401041004,62,24,0.02392559464599915
100,020401041004,63,23,0.0933322025705076
101,020401041004,62,23,0.2333317835143435
102,020401041004,61,23,0.045508253559246696
103,020401041004,62,22,0.13294435904282328
104,020401041004,61,22,0.17503020827343713
105,020401041004,60,22,0.07879256764321395
106,020401041004,60,21,0.010015870921565615
107,020401010501,88,21,0.05888294231480807
108,020401010501,87,21,0.03893946975264624
109,020401010501,84,20,0.027155372505438195
110,020401010501,88,20,0.03713378505411955
111,020401010501,87,20,0.14355348840528195
112,020401010501,86,20,0.10151239421084116
113,020401010501,85,20,0.1217006214973609
114,020401010501,87,19,0.03820692357412637
115,020401010501,86,19,0.09932127567847386
116,020401010501,85,19,0.15255948051179422
117,020401010501,84,19,0.10174521354680899
118,020401010501,84,18,0.030277275833188944
119,020401010501,86,18,0.004975159576465519
120,020401010501,85,18,0.04403659753864518
121,020401060301,64,14,0.005949437647774917
122,020401060301,63,14,0.026639861834088428
123,020401060301,64,13,0.1306459621263703
124,020401060301,63,13,0.325852927274767
125,020401060301,62,13,0.01627831254239926
126,020401060301,64,12,0.0537275314148954
127,020401060301,63,12,0.22401419339092174
128,020401060301,62,12,0.21689177376878435
129,020402060301,24,34,0.0065613062315028215
130,020402060301,23,34,1.4691225067545502e-06
131,020402060301,23,33,0.10994941690227786
132,020402060301,25,31,0.06825428848152203
133,020402060301,24,31,0.06504654716530571
134,020402060301,25,33,0.0037657186876347863
135,020402060301,24,33,0.12217768759453194
136,020402060301,26,32,0.007390302941325155
137,020402060301,25,32,0.11098061874469646
138,020402060301,24,32,0.13949762480289393
139,020402060301,22,33,0.017270643503780856
140,020402060301,23,32,0.1394942367744045
141,020402060301,22,32,0.11418598113254018
142,020402060301,21,32,0.00301584928523215
143,020402060301,23,31,0.03366528483243123
144,020402060301,22,31,0.05874302379741482
145,020401040303,91,30,8.79743230073995e-06
146,020401040303,91,29,0.10761492755713743
147,020401040303,90,29,0.03218671242944368
148,020401040303,91,28,0.11403167653663374
149,020401040303,90,28,0.19884663228669827
150,020401040303,89,28,0.18727580449479733
151,020401040303,91,27,0.024561196198800466
152,020401040303,90,27,0.12010056597730843
153,020401040303,89,27,0.15497451579557942
154,020401040303,88,28,0.0402533023922995
155,020401040303,88,27,0.020145868899000913
156,020401010605,80,22,0.005987354632847159
157,020401010605,80,21,0.06141475852294359
158,020401010605,80,20,0.1627588767483792
159,020401010605,80,19,0.05760788347365677
160,020401010605,79,23,0.0010623544963197246
161,020401010605,79,22,0.15331312229595734
162,020401010605,78,22,0.0384864777878472
163,020401010605,79,21,0.20454634479615705
164,020401010605,78,21,0.07701928255922251
165,020401010605,79,20,0.18301641190349646
166,020401010605,78,20,0.0322193335240068
167,020401010605,79,19,0.022567799259167163
168,020402070201,16,28,0.08387236724116187
169,020402070201,15,28,0.07927127418389662
170,020402070201,16,27,0.09252692111941696
171,020402070201,15,27,0.22331903058920835
172,020402070201,14,28,0.00011948136228097283
173,020402070201,14,27,0.06034192558045397
174,020402070201,14,26,0.18027498364382807
175,020402070201,13,26,0.008924455743876797
176,020402070201,14,25,0.0932545156271188
177,020402070201,13,25,0.0026757998809028606
178,020402070201,16,26,0.0014289105408417757
